source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
AQR,ADL,unknown,unknown,0.00020471161924281528,0.00026524133684136664,6.052971759855136e-05,0.12879949776879154,False
PVN,ADE,interneuron,sensory,6.887788096603788e-05,8.355639102115685e-06,6.05222418639222e-05,0.783625599972076,True
SAA,AIZ,motor,interneuron,9.151093530592732e-05,0.00015202205833769375,6.051112303176643e-05,0.24847186937277843,False
AVF,IL1,interneuron,sensory,7.3920699463669965e-06,6.78531876544808e-05,6.04611177081138e-05,0.8035195743083636,False
CEP,SIA,sensory,motor,7.541407113822544e-05,0.00013579786230162399,6.038379116339854e-05,0.2858918129804147,False
RME,SMB,motor,motor,0.00050600181696798,0.00044566016603672567,6.0341650931254316e-05,0.06340659358911954,True
PLN,CEP,sensory,sensory,0.00015929421568109715,0.00021950395911405116,6.020974343295401e-05,0.15894936022481904,False
RIR,AIZ,unknown,interneuron,3.879717162461821e-05,9.893927073823287e-05,6.0142099113614656e-05,0.4366459189542976,False
URB,AWB,sensory,sensory,4.167005175435046e-05,0.00010173002101140226,6.00599692570518e-05,0.41882773290072006,False
AVH,ADE,interneuron,sensory,4.047488929551608e-05,0.00010038712583508474,5.9912236539568665e-05,0.42532540764435356,False
URB,RIH,sensory,interneuron,0.0003489224157499389,0.00028927571563653633,5.9646700113402586e-05,0.09346108650884397,True
SAB,RIS,motor,interneuron,0.00011326029113909207,0.0001727463627431419,5.9486071604049844e-05,0.20798834571768124,False
URX,AFD,sensory,sensory,0.00011137654153557455,5.204778424551427e-05,5.9328757290060276e-05,0.363034821792996,True
PHB,FLP,sensory,sensory,4.59904916542414e-05,0.00010528233124645422,5.9291839592212816e-05,0.39195275965636917,False
ALN,AVD,sensory,interneuron,0.00017124549670748901,0.0002303513942527221,5.9105897545233093e-05,0.14717714244798488,False
DVA,RMH,sensory,motor,2.4162569432782667e-06,6.13571593734812e-05,5.8940902430202934e-05,0.9242222451314553,False
RMH,AFD,motor,sensory,8.891972960356239e-05,2.998402268411761e-05,5.893570691944478e-05,0.4956585155614113,True
PQR,ASI,unknown,sensory,4.0089689469311866e-05,9.88203798377032e-05,5.873069036839133e-05,0.4227961902385025,False
SIA,AVK,motor,interneuron,0.00013167037836041672,0.00019036017164137382,5.86897932809571e-05,0.18224909113660695,False
RMF,AWB,motor,sensory,0.00021795509782123658,0.0002765417794638766,5.8586681642639995e-05,0.1184773301634573,False
PVQ,AIA,interneuron,interneuron,3.805163398141487e-05,9.662150946833743e-05,5.8569875486922556e-05,0.4349035783694885,False
SAB,CEP,motor,sensory,8.034614356536964e-05,2.18349980431657e-05,5.851114552220394e-05,0.5726212032768687,True
AIM,ASJ,interneuron,sensory,3.369303645644077e-05,9.218040632596669e-05,5.848736986952592e-05,0.46465181305519215,False
AIB,RIA,interneuron,interneuron,1.2548723345723398e-05,7.103514634481165e-05,5.848642299908825e-05,0.6997325350259261,False
ALA,IL2,interneuron,sensory,3.492145627421674e-05,9.29117214922309e-05,5.799026521801416e-05,0.4536398207981713,False
URX,RMH,sensory,motor,3.5104939073250505e-05,9.307146147101456e-05,5.796652239776406e-05,0.45223985794295907,False
RMF,AVH,motor,interneuron,0.00013631821948109133,0.00019408670184555726,5.776848236446592e-05,0.17484141776209333,False
RID,URX,interneuron,sensory,0.00011435736748756558,5.670383365946086e-05,5.765353382810472e-05,0.3370343464098391,True
RIR,SMB,unknown,motor,0.00016731448116915506,0.00022485029553832552,5.753581436917046e-05,0.14671332846589155,False
AIA,ASJ,interneuron,sensory,0.0003444615353418834,0.00040193922796120767,5.747769261932426e-05,0.07700646588880523,False
AIY,AVJ,interneuron,interneuron,0.00026570125482336225,0.00020824632748483158,5.745492733853067e-05,0.12122630721331279,True
URB,RIP,sensory,interneuron,6.0111213962905154e-05,0.00011747245386284886,5.736123989994371e-05,0.3230094766106484,False
AQR,CEP,unknown,sensory,4.078818400203245e-05,9.811101923487798e-05,5.732283523284553e-05,0.41269346855595196,False
ASK,AIZ,sensory,interneuron,0.00047372939165012855,0.00041641640609713283,5.731298555299572e-05,0.06438605817095902,True
URA,RIP,sensory,interneuron,5.92279754632252e-05,0.00011649637165703856,5.726839619381336e-05,0.3258988554655661,False
